,Name,Price,Day
0,Sony Ps4 Console 500 GB WITH 2 CONTROLLER," 155,190",2023-08-13
1,Sony Computer Entertainment Playstation 4 Console 500gb," 143,500",2023-08-13
2,Sony Computer Entertainment Playstation 4 Console 500gb," 145,000",2023-08-13
3,Sony Computer Entertainment PlayStation 4 Console 500gb + Extra Controller," 155,000",2023-08-13
4,Sony Computer Entertainment PlayStation 4 Console 500gb +Extra Controller," 154,000",2023-08-13
5,PS4 Pro Camo Skin," 5,500",2023-08-13
6,4 Port Vga Splitter," 7,499",2023-08-13
7,Sony Computer Entertainment Playstation 4 Plus Fifa 23+ Extra Controller.," 185,000",2023-08-13
8,Sony Computer Entertainment Playstation 4 Slim Console 1TB + Extra Controller," 190,000",2023-08-13
9,Sony Ps4 Console 500 GB WITH 2 CONTROLLER," 159,900",2023-08-13
10,Sony Ps4 Console 500 GB WITH 2 CONTROLLER," 160,000",2023-08-13
11,5Gbps 4 Port USB 3.0 HUB For Apple Macbook Air Laptop PC," 22,250",2023-08-13
12,Sony Ps4 Console 500 GB.," 146,000",2023-08-13
13,Sony Computer Entertainment PlayStation 4 Pro Console 1TB + Extra Controller + FIFA23 CD," 225,000",2023-08-13
14,Sony Ps4 Console 500 GB WITH EXTRA CONTROLLER PLUS FIFA23," 170,000",2023-08-13
15,Sony PS4 Slim 500GB Console - Black," 169,000",2023-08-13
16,Sony PS4 Slim 1TB Console Plus Extra Controller," 188,000",2023-08-13
17,Sony Ps4 Console 500 GB WITH FIFA23," 160,000",2023-08-13
18,Sony PS4 Shadow Of War - Middle-Earth," 10,000",2023-08-13
19,Rockstar Games PS4 GTA 5 GRAND THEFT AUTO 5 PLAYSTATION 4," 22,500",2023-08-13
20,Rockstar Games Red Dead Redemption 2 PS4," 21,200",2023-08-13
21,Rockstar Games GTA V PS4," 18,499",2023-08-13
22,Sony Ps4 Console 500 GB WITH EXTRA CONTROLLER," 155,000",2023-08-13
23,BT4.0 Mini USB WIFI Bluetooth Dual Function Wireless 3G 4G," 15,510",2023-08-13
24,Sony Computer Entertainment Playstation 4 Slim Console 1TB + Extra Controller," 189,500",2023-08-13
25,UBISOFT Far Cry 4 - PS4," 9,000",2023-08-13
26,Sony Computer Entertainment Playstation 4 Console 500gb + Extra Controller," 153,500",2023-08-13
27,Sony 1TB Playstation4 Pro + 1 Extra Controler + Fifa21," 230,000",2023-08-13
28,Sony PS4 Grand Theft Auto GTA 5," 20,000",2023-08-13
29,For Sony PS 4 Slim/Pro Dual USB Controller Charger -White -Charging," 3,018",2023-08-13
30,2p 3p DC12-100v 60v 1p 24v 36v Breaker 4p 48v Circuit," 17,162",2023-08-13
31,Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro)," 205,000",2023-08-13
32,Sony Ps4 Pro 1TB Plus Extra Controller Plus Fifa23," 225,000",2023-08-13
33,Sony Computer Entertainment PlayStation 4 Slim 500gb + Extra Controller + FIFA 23 CD," 205,000",2023-08-13
34,Sony Computer Entertainment PlayStation 4 Console 500gb," 148,000",2023-08-13
35,Sony Ps4 Console 500 GB WITH 2 CONTROLLER Plus Fifa23," 180,000",2023-08-13
36,EA Sports PS4 - Battlefield 1," 8,000",2023-08-13
37,Sony PS4 Slim 1TB Console," 185,000",2023-08-13
38,Insomniac Games PS4 - Ratchet And Clank," 8,000",2023-08-13
39,Dual Charger Charging Cradle For Sony   4 PS VR Move Controller," 5,105",2023-08-13
